NUEVO_ID,ATSEG,Predicted,Prob_SEG_A,Prob_SEG_B,Prob_SEG_C,Max_Prob,ORAL_TRX_mean,UC_TRX_mean,TOTAL_TRX_mean,N_CLMOTHERS_mean,IL23_TRX_mean
4044,SEG_A,SEG_B,0.3870231509208679,0.5002250075340271,0.11275182664394379,0.5002250075340271,0.0740818344907916,0.5782466783743991,0.3293030924378555,0.2674418604651162,0.0
3145,SEG_A,SEG_B,0.20569565892219543,0.5002150535583496,0.29408928751945496,0.5002150535583496,0.0506790697674418,1.5068117715927838,1.097878799574294,1.837209302325581,0.0
8509,SEG_A,SEG_C,0.2990048825740814,0.200815349817276,0.5001797676086426,0.5001797676086426,0.0603083591058609,1.601839533109822,1.128363479046147,1.686046511627907,0.0168720930232558
17167,SEG_A,SEG_B,0.42654943466186523,0.5000610947608948,0.07338949292898178,0.5000610947608948,0.0553931110842048,0.3631525730402852,-0.0094217152332096,0.1976744186046511,0.0097488372093023
4856,SEG_A,SEG_C,0.11357282102108002,0.3865138292312622,0.49991336464881897,0.49991336464881897,0.068053488372093,1.8918453869760348,1.4174458243835488,2.372093023255814,0.0385558139534883
16921,SEG_A,SEG_B,0.3163732588291168,0.49990567564964294,0.183721125125885,0.49990567564964294,0.1256212815461217,1.4324410622106327,1.0172456161941137,1.2093023255813953,0.0097488372093023
4919,SEG_B,SEG_C,0.2313608080148697,0.26875022053718567,0.49988898634910583,0.49988898634910583,0.0476488372093023,2.629255139871925,2.1446910158008534,3.13953488372093,0.08024914222381
31,SEG_B,SEG_C,0.23062588274478912,0.2694997787475586,0.4998743236064911,0.4998743236064911,0.079461759649563,1.4853564649743671,0.9704239390010628,2.069767441860465,0.0121232558139534
7772,SEG_A,SEG_B,0.17703959345817566,0.4998316168785095,0.3231287896633148,0.4998316168785095,0.1106326459679257,2.182764798751175,1.7230627201933204,2.1744186046511627,0.0346976744186046
13027,SEG_B,SEG_A,0.4997875988483429,0.28116896748542786,0.21904346346855164,0.4997875988483429,0.0309790697674418,0.6669238820002484,0.3969740437666144,0.9186046511627908,0.0
4465,SEG_B,SEG_A,0.4995781183242798,0.10797001421451569,0.3924519121646881,0.4995781183242798,0.0151686485653582,1.1647597254004578,0.7357072986162853,0.7093023255813954,0.0
9938,SEG_A,SEG_B,0.10160265117883682,0.4993650019168854,0.3990323543548584,0.4993650019168854,0.0855837209302325,2.1333528462207085,1.7665010491996604,2.2790697674418605,0.0454186046511627
4494,SEG_B,SEG_C,0.15580809116363525,0.3448536694049835,0.49933817982673645,0.49933817982673645,0.0791163668981583,1.3053678179270218,0.8373073857961006,1.8604651162790693,0.0372186046511627
530,SEG_B,SEG_C,0.18815526366233826,0.31259921193122864,0.4992455244064331,0.4992455244064331,0.0686163668981583,0.8331382044595819,0.4336353577598708,0.9186046511627908,0.0262279069767441
16153,SEG_A,SEG_B,0.20245084166526794,0.4992430508136749,0.29830610752105713,0.4992430508136749,0.0718418604651162,1.088384510315222,0.5934279024495751,1.2325581395348837,0.0822309950944086
12780,SEG_A,SEG_B,0.010308296419680119,0.49919337034225464,0.49049830436706543,0.49919337034225464,0.3039488601018817,4.2894072121058056,3.248230823472862,4.736455491944025,0.2775890586841166
16140,SEG_A,SEG_B,0.4570886194705963,0.4991796314716339,0.043731674551963806,0.4991796314716339,0.1096268759286328,0.6682276976566797,0.2250319941788074,0.2906976744186046,0.0121232558139534
5180,SEG_C,SEG_A,0.49917227029800415,0.130244180560112,0.37058350443840027,0.49917227029800415,0.0,1.7076620761131946,1.2445713322193843,2.2209302325581395,0.0097488372093023
10573,SEG_B,SEG_A,0.49912533164024353,0.2697244882583618,0.23115020990371704,0.49912533164024353,0.0043953488372093,0.755388217763823,0.3986481799420772,1.0348837209302326,0.0144953488372093
19998,SEG_A,SEG_B,0.2798548638820648,0.4989878237247467,0.22115734219551086,0.4989878237247467,0.0821874288733028,1.1383020240185906,0.7514391466770721,1.0116279069767442,0.0497116279069767
7477,SEG_B,SEG_C,0.07365567237138748,0.4274675250053406,0.49887678027153015,0.49887678027153015,0.0941255813953488,2.3712858992780235,2.4728150569028866,2.488372093023256,0.1555427755086392
12372,SEG_B,SEG_A,0.49883192777633667,0.3322860896587372,0.16888195276260376,0.49883192777633667,0.0655919043793117,0.8009685487733489,0.4064394591252524,0.8604651162790697,0.033753488372093
1548,SEG_B,SEG_A,0.49882349371910095,0.2824528217315674,0.21872363984584808,0.49882349371910095,0.0253500439141954,1.1203679066219645,0.6639649945735759,1.7093023255813953,0.0143093023255813
14551,SEG_A,SEG_C,0.16863210499286652,0.3326081335544586,0.49875977635383606,0.49875977635383606,0.0195175736030514,2.147172125250193,1.7834194381994943,2.8488372093023258,0.1295958063589708
4818,SEG_A,SEG_C,0.44484907388687134,0.05639629811048508,0.49875468015670776,0.49875468015670776,0.0,2.761126780550973,2.121880582002324,3.453748195586966,0.0291209302325581
12802,SEG_C,SEG_A,0.4986647963523865,0.2726496458053589,0.22868557274341583,0.4986647963523865,0.0365511627906976,2.0085501924680256,1.512700023040276,2.3255813953488373,0.0047488372093023
5772,SEG_A,SEG_C,0.2905338406562805,0.2108970284461975,0.4985690712928772,0.4985690712928772,0.0172023255813953,3.129751831550565,2.5269075738094,3.3255813953488373,0.0192465116279069
14379,SEG_C,SEG_B,0.15734387934207916,0.4985404908657074,0.34411558508872986,0.4985404908657074,0.0928269637570237,2.4359179039611165,1.8866273460918987,3.3488372093023258,0.0529279069767441
3986,SEG_B,SEG_C,0.1699357032775879,0.33153313398361206,0.49853113293647766,0.49853113293647766,0.1082058578676838,1.9524075077334584,1.4163122428445891,2.244186046511628,0.0540209302325581
7143,SEG_B,SEG_C,0.1551312357187271,0.346380352973938,0.49848848581314087,0.49848848581314087,0.049440741588614,1.1472247352455964,0.8266736523811407,1.5232558139534884,0.0156906976744186
5377,SEG_B,SEG_C,0.07085099816322327,0.4306754469871521,0.4984736144542694,0.4984736144542694,0.0883232558139534,1.5061997764887445,0.9430991896264256,2.732558139534884,0.0290860465116279
4934,SEG_C,SEG_A,0.4984038472175598,0.09605035185813904,0.40554580092430115,0.4984038472175598,0.0,1.2722313873662925,0.987114168283202,2.4069767441860463,0.0
631,SEG_C,SEG_A,0.49829086661338806,0.12691104412078857,0.374798059463501,0.49829086661338806,0.0,1.00129494616217,0.648688438488657,1.372093023255814,0.0
3463,SEG_B,SEG_C,0.10237080603837967,0.39937570691108704,0.4982534945011139,0.4982534945011139,0.0731348837209302,1.5638514891880866,1.1027875017651825,1.802325581395349,0.0545418604651162
6891,SEG_C,SEG_B,0.005749398376792669,0.49819859862327576,0.49605196714401245,0.49819859862327576,0.3578768549070169,3.815053305660512,3.0874913447225465,3.302325581395349,0.1657519253269668
11655,SEG_A,SEG_B,0.39779356122016907,0.4981638491153717,0.10404258966445923,0.4981638491153717,0.0370860465116279,0.2125662994696042,-0.108232651188096,0.2093023255813953,0.0
10260,SEG_A,SEG_C,0.39063090085983276,0.11131249368190765,0.4980565905570984,0.4980565905570984,0.0,0.7075018182463236,0.4701845610196431,1.244186046511628,0.0634303850653933
4991,SEG_C,SEG_A,0.4979996085166931,0.0940246433019638,0.4079757332801819,0.4979996085166931,0.0149279069767441,0.3531921309846912,0.046227340631898,0.6511627906976745,0.0048744186046511
7877,SEG_A,SEG_C,0.022246545180678368,0.4797654151916504,0.4979880750179291,0.4979880750179291,0.1512628785260653,5.04224199440445,4.173072678431954,7.309340815731804,0.0826447960755269
18442,SEG_A,SEG_B,0.30591288208961487,0.4978819489479065,0.19620518386363983,0.4978819489479065,0.1020360904258233,0.7918152306955457,0.3167917276014478,0.5813953488372093,0.0144395348837209
3309,SEG_B,SEG_C,0.2011481523513794,0.30103158950805664,0.49782025814056396,0.49782025814056396,0.0585255813953488,1.131614425345467,0.7850627166219487,1.3837209302325582,0.0024372093023255
1155,SEG_A,SEG_C,0.35212311148643494,0.15019194781780243,0.4976849853992462,0.4976849853992462,0.0228930232558139,0.5685700601351712,0.3296197536445631,0.813953488372093,0.0323186046511627
4909,SEG_A,SEG_B,0.35374853014945984,0.497579962015152,0.14867156744003296,0.497579962015152,0.0484767441860465,1.0693505756301775,0.7241549410840201,1.1162790697674418,0.0504906976744186
14353,SEG_B,SEG_C,0.056315794587135315,0.44611915946006775,0.49756503105163574,0.49756503105163574,0.1640546950769861,2.2761257023172288,1.5958481033690874,2.2209302325581395,0.110914868531895
6085,SEG_A,SEG_C,0.3198387622833252,0.18262632191181183,0.4975348711013794,0.4975348711013794,0.0,1.1929115001862596,0.8558564417390702,1.7325581395348837,0.0386837209302325
863,SEG_B,SEG_C,0.13970622420310974,0.3627670705318451,0.49752673506736755,0.49752673506736755,0.0914697674418604,2.419819771876608,2.178757856610206,2.232558139534884,0.0250999999999999
18529,SEG_A,SEG_C,0.27487993240356445,0.22764244675636292,0.49747756123542786,0.49747756123542786,0.0504023255813953,1.902417824135668,1.3245608488189238,2.7674418604651163,0.0500820053778525
12241,SEG_B,SEG_C,0.29516705870628357,0.20735785365104675,0.4974750876426697,0.4974750876426697,0.058613953488372,0.71692122115197,0.4231984696834555,0.8953488372093024,0.1101424704941316
14289,SEG_B,SEG_A,0.49742305278778076,0.34279561042785645,0.15978139638900757,0.49742305278778076,0.0439302325581395,0.3569705355400635,0.1233980195272531,0.2790697674418604,0.0313976744186046
13629,SEG_B,SEG_C,0.2925490140914917,0.21004551649093628,0.497405469417572,0.497405469417572,0.0214372093023255,0.926604934986607,0.5342632011838727,0.9651162790697676,0.1116398398982285
